Irradiance,Resistance,I1,V1,I2,V2,I3,V3,I4,V4,I5,V5,I6,V6,Fault
1000,10,3.10064,155.83529,3.10064,155.83529,3.10064,155.83529,3.10064,155.83529,0,155.03218,3.10064,155.83529,3
1000,2,8.1013,81.8215,8.1013,81.8215,8.1013,81.8215,8.1013,81.8215,0,81.01349,8.1013,81.8215,3
1000,3,7.9622,120.24,7.9622,120.24,7.9622,120.24,7.9622,120.24,0,119.433,7.9622,120.24,3
1000,4,6.918063,139.1861,6.918063,139.1861,6.918063,139.1861,6.918063,139.1861,0,138.3612,6.918063,139.1861,3
1000,5,5.7998,145.801,5.7998,145.801,5.7998,145.801,5.7998,145.801,0,144.995,5.7998,145.801,3
1000,6,4.954429,149.4378,4.954429,149.4378,4.954429,149.4378,4.954429,149.4378,0,148.632,4.954429,149.4378,3
1000,7,4.3148,151.8226,4.3148,151.8226,4.3148,151.8226,4.3148,151.8226,0,151.018,4.3148,151.8226,3
1000,8,3.8181,153.5304,3.8181,153.5304,3.8181,153.5304,3.8181,153.5304,0,152.7265,3.8181,153.5304,3
1000,9,3.4226,154.8216,3.4226,154.8216,3.4226,154.8216,3.4226,154.8216,0,154.018,3.4226,154.8216,3
1000,10,3.10064,155.83529,3.10064,155.83529,0,155.03218,3.10064,155.83529,3.10064,155.83529,3.10064,155.83529,3
1000,1.5,8.1122109,73.78515847,8.1122109,73.78515847,8.10126027,73.7851475,8.1122109,73.78515847,8.10126027,73.7851475,8.1122109,73.78515847,2
1000,2.5,7.97184831,119.5254125,7.97184831,119.5254125,7.79979151,119.5252405,7.97184831,119.5254125,7.79979151,119.5252405,7.97184831,119.5254125,2
1000,3.5,6.915217755,139.1899042,6.915217755,139.1899042,5.929420576,139.1888273,6.915217755,139.1899042,5.929420576,139.1888273,6.915217755,139.1899042,2
1000,4.5,5.75119,146.030977,5.75119,146.030977,4.63375541,146.029859,5.75119,146.030977,4.63375541,146.029859,5.75119,146.030977,2
1000,5.5,4.868853,149.7715693,4.868853,149.7715693,3.804719499,149.7705,4.868853,149.7715693,3.804719499,149.7705,4.868853,149.7715693,2
1000,6.5,4.20764281,152.20035,4.20764281,152.20035,3.23057,152.19938,4.20764281,152.20035,3.23057,152.19938,4.20764281,152.20035,2
1000,7.5,3.699774,153.9226846,3.699774,153.9226846,2.8083836,153.921793,3.699774,153.9226846,2.8083836,153.921793,3.699774,153.9226846,2
1000,8.5,3.299261622,155.213688,3.299261622,155.213688,2.48444028,155.212874,3.299261622,155.213688,2.48444028,155.212874,3.299261622,155.213688,2
1000,9.5,2.975996,156.219635,2.975996,156.219635,2.227832,156.2188873,2.975996,156.219635,2.227832,156.2188873,2.975996,156.219635,2
1000,10.5,2.7098947,157.0268329,2.7098947,157.0268329,2.01945436,157.026142,2.7098947,157.0268329,2.01945436,157.026142,2.7098947,157.0268329,2
1000,2,8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,0
1000,2.1,8.067,102.461,8.067,102.461,8.067,102.461,8.067,102.461,8.067,102.461,8.067,102.461,0
1000,2.2,8.055,107.134,8.055,107.134,8.055,107.134,8.055,107.134,8.055,107.134,8.055,107.134,0
1000,2.3,8.036,111.711,8.036,111.711,8.036,111.711,8.036,111.711,8.036,111.711,8.036,111.711,0
1000,2.4,8.007,116.115,8.007,116.115,8.007,116.115,8.007,116.115,8.007,116.115,8.007,116.115,0
1000,2.5,7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,0
1000,2.6,7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,0
1000,2.7,7.803,127.222,7.803,127.222,7.803,127.222,7.803,127.222,7.803,127.222,7.803,127.222,0
1000,4.3,5.647,146.511,5.647,146.511,5.647,146.511,5.647,146.511,5.647,146.511,5.647,146.511,0
1000,4.4,5.537,147.005,5.537,147.005,5.537,147.005,5.537,147.005,5.537,147.005,5.537,147.005,0
1000,4.5,5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,0
1000,4.6,5.329,147.907,5.329,147.907,5.329,147.907,5.329,147.907,5.329,147.907,5.329,147.907,0
1000,4.7,5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,0
1000,4.8,5.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,0
1000,4.9,5.04,149.08,5.04,149.08,5.04,149.08,5.04,149.08,5.04,149.08,5.04,149.08,0
1000,5,4.954,149.437,4.954,149.437,4.954,149.437,4.954,149.437,4.954,149.437,4.954,149.437,0
1000,5.1,4.868,149.773,4.868,149.773,4.868,149.773,4.868,149.773,4.868,149.773,4.868,149.773,0
1000,5.2,4.784,150.094,4.784,150.094,4.784,150.094,4.784,150.094,4.784,150.094,4.784,150.094,0
1000,5.3,4.704,150.339,4.704,150.339,4.704,150.339,4.704,150.339,4.704,150.339,4.704,150.339,0
1000,5.4,4.625,150.691,4.625,150.691,4.625,150.691,4.625,150.691,4.625,150.691,4.625,150.691,0
270,0.5,5,45,5,45,5,45,5,45,5,45,5,45,4
280,0.6,5.5,46,5.5,46,5.5,46,5.5,46,5.5,46,5.5,46,4
300,0.7,6,48,6,48,6,48,6,48,6,48,6,48,4
350,0.8,6.6,49.9,6.6,49.9,6.6,49.9,6.6,49.9,6.6,49.9,6.6,49.9,4
400,0.9,7,52,7,52,7,52,7,52,7,52,7,52,4
450,1,7.7,53,7.7,53,7.7,53,7.7,53,7.7,53,7.7,53,4
500,1.1,8.118,54.496,8.137,54.496,8.137,54.496,8.137,54.496,8.137,54.496,8.137,54.496,4
510,1.2,8.11,59.329,8.134,59.329,8.134,59.329,8.134,59.329,8.134,59.329,8.134,59.329,4
520,1.3,8.102,64.153,8.125,64.153,8.125,64.153,8.125,64.153,8.125,64.153,8.125,64.153,4
540,1.4,8.093,69.969,8.118,69.969,8.118,69.969,8.118,69.969,8.118,69.969,8.118,69.969,4
1000,5.5,4.55,150.971,4.55,150.971,4.55,150.971,4.55,150.971,4.55,150.971,4.55,150.971,0
1000,5.6,4.47772,151.239,4.47772,151.239,4.47772,151.239,4.47772,151.239,4.47772,151.239,4.47772,151.239,0
1000,5.7,4.406,151.496,4.406,151.496,4.406,151.496,4.406,151.496,4.406,151.496,4.406,151.496,0
1000,5.8,4.337,151.742,4.337,151.742,4.337,151.742,4.337,151.742,4.337,151.742,4.337,151.742,0
1000,5.9,4.27,151.979,4.27,151.979,4.27,151.979,4.27,151.979,4.27,151.979,4.27,151.979,0
1000,6,4.205,152.207,4.205,152.207,4.205,152.207,4.205,152.207,4.205,152.207,4.205,152.207,0
1000,6.1,4.142,152.426,4.142,152.426,4.142,152.426,4.142,152.426,4.142,152.426,4.142,152.426,0
1000,6.2,4.081,152.637,4.081,152.637,4.081,152.637,4.081,152.637,4.081,152.637,4.081,152.637,0
1000,6.3,4.022,152.841,4.022,152.841,4.022,152.841,4.022,152.841,4.022,152.841,4.022,152.841,0
1000,6.4,3.964,153.038,3.964,153.038,3.964,153.038,3.964,153.038,3.964,153.038,3.964,153.038,0
1000,6.5,3.906,153.228,3.906,153.228,3.906,153.228,3.906,153.228,3.906,153.228,3.906,153.228,0
1000,6.6,3.853,153.411,3.853,153.411,3.853,153.411,3.853,153.411,3.853,153.411,3.853,153.411,0
1000,6.7,3.8,153.588,3.8,153.588,3.8,153.588,3.8,153.588,3.8,153.588,3.8,153.588,0
1000,6.8,3.748,153.76,3.748,153.76,3.748,153.76,3.748,153.76,3.748,153.76,3.748,153.76,0
1000,6.9,3.698,153.926,3.698,153.926,3.698,153.926,3.698,153.926,3.698,153.926,3.698,153.926,0
1000,7,3.649,154.087,3.649,154.087,3.649,154.087,3.649,154.087,3.649,154.087,3.649,154.087,0
1000,7.1,3.601,154.243,3.601,154.243,3.601,154.243,3.601,154.243,3.601,154.243,3.601,154.243,0
1000,7.2,3.555,154.394,3.555,154.394,3.555,154.394,3.555,154.394,3.555,154.394,3.555,154.394,0
1000,7.3,3.509,154.541,3.509,154.541,3.509,154.541,3.509,154.541,3.509,154.541,3.509,154.541,0
1000,7.4,3.465,154.683,3.465,154.683,3.465,154.683,3.465,154.683,3.465,154.683,3.465,154.683,0
1000,7.5,3.422,154.821,3.422,154.821,3.422,154.821,3.422,154.821,3.422,154.821,3.422,154.821,0
1000,7.6,3.38,154.966,3.38,154.966,3.38,154.966,3.38,154.966,3.38,154.966,3.38,154.966,0
1000,7.7,3.339,155.086,3.339,155.086,3.339,155.086,3.339,155.086,3.339,155.086,3.339,155.086,0
1000,7.8,3.299,155.213,3.299,155.213,3.299,155.213,3.299,155.213,3.299,155.213,3.299,155.213,0
1000,7.9,3.26,155.336,3.26,155.336,3.26,155.336,3.26,155.336,3.26,155.336,3.26,155.336,0
1000,8,3.221,155.546,3.221,155.546,3.221,155.546,3.221,155.546,3.221,155.546,3.221,155.546,0
1000,8.1,3.184,155.573,3.184,155.573,3.184,155.573,3.184,155.573,3.184,155.573,3.184,155.573,0
1000,8.2,3.14,155.687,3.14,155.687,3.14,155.687,3.14,155.687,3.14,155.687,3.14,155.687,0
1000,8.3,3.112,155.796,3.112,155.796,3.112,155.796,3.112,155.796,3.112,155.796,3.112,155.796,0
1000,9.5,2.739,156.938,2.739,156.938,2.739,156.938,2.739,156.938,2.739,156.938,2.739,156.938,0
1000,9.6,2.712,157.02,2.712,157.02,2.712,157.02,2.712,157.02,2.712,157.02,2.712,157.02,0
1000,9.7,2.685,157.099,2.685,157.099,2.685,157.099,2.685,157.099,2.685,157.099,2.685,157.099,0
1000,9.8,2.659,157.177,2.659,157.177,2.659,157.177,2.659,157.177,2.659,157.177,2.659,157.177,0
1000,9.9,2.6333,157.254,2.6333,157.254,2.6333,157.254,2.6333,157.254,2.6333,157.254,2.6333,157.254,0
1000,10,2.608,157.328,2.608,157.328,2.608,157.328,2.608,157.328,2.608,157.328,2.608,157.328,0
1000,10.1,2.584,157.402,2.584,157.402,2.584,157.402,2.584,157.402,2.584,157.402,2.584,157.402,0
1000,10.2,2.559,157.473,2.559,157.473,2.559,157.473,2.559,157.473,2.559,157.473,2.559,157.473,0
1000,10.3,2.536,157.544,2.536,157.544,2.536,157.544,2.536,157.544,2.536,157.544,2.536,157.544,0
1000,10.4,2.512,157.613,2.512,157.613,2.512,157.613,2.512,157.613,2.512,157.613,2.512,157.613,0
1000,10.5,2.49,157.68,2.49,157.68,2.49,157.68,2.49,157.68,2.49,157.68,2.49,157.68,0
1000,10.6,2.467,157.746,2.467,157.746,2.467,157.746,2.467,157.746,2.467,157.746,2.467,157.746,0
1000,10.7,2.445,157.811,2.445,157.811,2.445,157.811,2.445,157.811,2.445,157.811,2.445,157.811,0
920,10.8,2.422,157.875,2.422,157.875,2.422,157.875,2.422,157.875,2.422,157.875,2.422,157.875,0
1000,10.9,2.402,157.937,2.402,157.937,2.402,157.937,2.402,157.937,2.402,157.937,2.402,157.937,0
1000,11,2.381,157.996,2.381,157.996,2.381,157.996,2.381,157.996,2.381,157.996,2.381,157.996,0
1000,11.1,2.361,158.005,2.361,158.005,2.361,158.005,2.361,158.005,2.361,158.005,2.361,158.005,0
1000,11.2,2.341,158.118,2.341,158.118,2.341,158.118,2.341,158.118,2.341,158.118,2.341,158.118,0
1000,11.3,2.321,158.175,2.321,158.175,2.321,158.175,2.321,158.175,2.321,158.175,2.321,158.175,0
1000,11.4,2.301,158.232,2.301,158.232,2.301,158.232,2.301,158.232,2.301,158.232,2.301,158.232,0
1000,11.5,2.282,158.228,2.282,158.228,2.282,158.228,2.282,158.228,2.282,158.228,2.282,158.228,0
1000,11.6,2.263,158.343,2.263,158.343,2.263,158.343,2.263,158.343,2.263,158.343,2.263,158.343,0
1000,11.7,2.244,158.397,2.244,158.397,2.244,158.397,2.244,158.397,2.244,158.397,2.244,158.397,0
1000,11.8,2.226,158.45,2.226,158.45,2.226,158.45,2.226,158.45,2.226,158.45,2.226,158.45,0
1000,11.9,2.208,158.502,2.208,158.502,2.208,158.502,2.208,158.502,2.208,158.502,2.208,158.502,0
950,12,2.19,158.563,2.19,158.563,2.19,158.563,2.19,158.563,2.19,158.563,2.19,158.563,0
1000,12.1,2.173,158.603,2.173,158.603,2.173,158.603,2.173,158.603,2.173,158.603,2.173,158.603,0
1000,12.2,2.156,158.652,2.156,158.652,2.156,158.652,2.156,158.652,2.156,158.652,2.156,158.652,0
1000,12.3,2.139,158.701,2.139,158.701,2.139,158.701,2.139,158.701,2.139,158.701,2.139,158.701,0
1000,12.4,2.122,158.749,2.122,158.749,2.122,158.749,2.122,158.749,2.122,158.749,2.122,158.749,0
1000,12.5,2.106,158.796,2.106,158.796,2.106,158.796,2.106,158.796,2.106,158.796,2.106,158.796,0
1000,8,3.8181,153.5304,0,152.7265,3.8181,153.5304,3.8181,153.5304,3.8181,153.5304,3.8181,153.5304,3
1000,9,3.4226,154.8216,0,154.018,3.4226,154.8216,3.4226,154.8216,3.4226,154.8216,3.4226,154.8216,3
1000,1.1,8.149587,45.6308,8.149587,45.6308,8.149587,45.6308,8.149587,45.6308,8.149587,45.6308,0,44.822,3
1000,1.2,8.204524,50.035349,8.204524,50.035349,8.204524,50.035349,8.204524,50.035349,8.204524,50.035349,0,49.2271,3
1000,1.3,8.1388,53.71,8.1388,53.71,8.1388,53.71,8.1388,53.71,8.1388,53.71,0,52.9027,3
1000,1.4,8.133,57.742,8.133,57.742,8.133,57.742,8.133,57.742,8.133,57.742,0,56.9347,3
1000,1.5,8.1282,61.7696,8.1282,61.7696,8.1282,61.7696,8.1282,61.7696,8.1282,61.7696,0,60.9615,3
1000,1.6,8.1228,65.791,8.1228,65.791,8.1228,65.791,8.1228,65.791,8.1228,65.791,0,64.9829,3
1000,2.5,8.06494,101.67,8.06494,101.67,8.06494,101.67,8.06494,101.67,8.06494,101.67,0,100.8685,3
1000,3.5,7.5359,132.6874,7.5359,132.6874,7.5359,132.6874,7.5359,132.6874,7.5359,132.6874,0,131.879,3
1000,13.6,1.941,159.266,1.941,159.266,1.941,159.266,1.941,159.266,1.941,159.266,1.941,159.266,0
1000,13.7,1.928,159.305,1.928,159.305,1.928,159.305,1.928,159.305,1.928,159.305,1.928,159.305,0
1000,13.8,1.914,159.343,1.914,159.343,1.914,159.343,1.914,159.343,1.914,159.343,1.914,159.343,0
1000,13.9,1.901,159.381,1.901,159.381,1.901,159.381,1.901,159.381,1.901,159.381,1.901,159.381,0
1000,14,1.888,159.418,1.888,159.418,1.888,159.418,1.888,159.418,1.888,159.418,1.888,159.418,0
1000,14.1,1.875,159.454,1.875,159.454,1.875,159.454,1.875,159.454,1.875,159.454,1.875,159.454,0
1000,14.2,1.862,159.491,1.862,159.491,1.862,159.491,1.862,159.491,1.862,159.491,1.862,159.491,0
1000,14.3,1.849,159.526,1.849,159.526,1.849,159.526,1.849,159.526,1.849,159.526,1.849,159.526,0
1000,14.4,1.837,159.231,1.837,159.231,1.837,159.231,1.837,159.231,1.837,159.231,1.837,159.231,0
1000,14.5,1.825,159.596,1.825,159.596,1.825,159.596,1.825,159.596,1.825,159.596,1.825,159.596,0
1000,14.6,1.813,159.63,1.813,159.63,1.813,159.63,1.813,159.63,1.813,159.63,1.813,159.63,0
1000,14.7,1.801,159.664,1.801,159.664,1.801,159.664,1.801,159.664,1.801,159.664,1.801,159.664,0
1000,14.8,1.789,159.695,1.789,159.695,1.789,159.695,1.789,159.695,1.789,159.695,1.789,159.695,0
1000,14.9,1.777,159.73,1.777,159.73,1.777,159.73,1.777,159.73,1.777,159.73,1.777,159.73,0
1000,15,1.766,159.762,1.766,159.762,1.766,159.762,1.766,159.762,1.766,159.762,1.766,159.762,0
1000,15.1,1.754,159.794,1.754,159.794,1.754,159.794,1.754,159.794,1.754,159.794,1.754,159.794,0
1000,15.2,1.743,159.826,1.743,159.826,1.743,159.826,1.743,159.826,1.743,159.826,1.743,159.826,0
1000,15.3,1.732,159.855,1.732,159.855,1.732,159.855,1.732,159.855,1.732,159.855,1.732,159.855,0
1000,15.4,1.721,159.887,1.721,159.887,1.721,159.887,1.721,159.887,1.721,159.887,1.721,159.887,0
1000,15.5,1.71,159.917,1.71,159.917,1.71,159.917,1.71,159.917,1.71,159.917,1.71,159.917,0
1000,15.6,1.7,159.947,1.7,159.947,1.7,159.947,1.7,159.947,1.7,159.947,1.7,159.947,0
1000,15.7,1.689,159.976,1.689,159.976,1.689,159.976,1.689,159.976,1.689,159.976,1.689,159.976,0
1000,15.8,1.679,160.0005,1.679,160.0005,1.679,160.0005,1.679,160.0005,1.679,160.0005,1.679,160.0005,0
1000,15.9,1.669,160.034,1.669,160.034,1.669,160.034,1.669,160.034,1.669,160.034,1.669,160.034,0
1000,16,1.658,160.062,1.658,160.062,1.658,160.062,1.658,160.062,1.658,160.062,1.658,160.062,0
1000,16.1,1.648,160.09,1.648,160.09,1.648,160.09,1.648,160.09,1.648,160.09,1.648,160.09,0
1000,16.2,1.639,160.118,1.639,160.118,1.639,160.118,1.639,160.118,1.639,160.118,1.639,160.118,0
1000,16.3,1.629,160.145,1.629,160.145,1.629,160.145,1.629,160.145,1.629,160.145,1.629,160.145,0
1000,16.4,1.619,160.172,1.619,160.172,1.619,160.172,1.619,160.172,1.619,160.172,1.619,160.172,0
1000,16.5,1.61,160.198,1.61,160.198,1.61,160.198,1.61,160.198,1.61,160.198,1.61,160.198,0
1000,16.6,1.6,160.224,1.6,160.224,1.6,160.224,1.6,160.224,1.6,160.224,1.6,160.224,0
1000,16.7,1.591,160.25,1.591,160.25,1.591,160.25,1.591,160.25,1.591,160.25,1.591,160.25,0
1000,16.8,1.582,160.276,1.582,160.276,1.582,160.276,1.582,160.276,1.582,160.276,1.582,160.276,0
1000,16.9,1.572,160.301,1.572,160.301,1.572,160.301,1.572,160.301,1.572,160.301,1.572,160.301,0
1000,17,1.563,160.326,1.563,160.326,1.563,160.326,1.563,160.326,1.563,160.326,1.563,160.326,0
1000,17.1,1.55,160.351,1.55,160.351,1.55,160.351,1.55,160.351,1.55,160.351,1.55,160.351,0
1000,17.2,1.546,160.375,1.546,160.375,1.546,160.375,1.546,160.375,1.546,160.375,1.546,160.375,0
1000,17.3,1.537,160.4,1.537,160.4,1.537,160.4,1.537,160.4,1.537,160.4,1.537,160.4,0
1000,17.4,1.528,160.423,1.528,160.423,1.528,160.423,1.528,160.423,1.528,160.423,1.528,160.423,0
1000,17.5,1.52,160.447,1.52,160.447,1.52,160.447,1.52,160.447,1.52,160.447,1.52,160.447,0
1000,17.6,1.512,160.47,1.512,160.47,1.512,160.47,1.512,160.47,1.512,160.47,1.512,160.47,0
1000,17.7,1.503,160.493,1.503,160.493,1.503,160.493,1.503,160.493,1.503,160.493,1.503,160.493,0
1000,17.8,1.495,160.516,1.495,160.516,1.495,160.516,1.495,160.516,1.495,160.516,1.495,160.516,0
1000,17.9,1.487,160.538,1.487,160.538,1.487,160.538,1.487,160.538,1.487,160.538,1.487,160.538,0
1000,18,1.479,160.561,1.479,160.561,1.479,160.561,1.479,160.561,1.479,160.561,1.479,160.561,0
1000,18.1,1.471,160.583,1.471,160.583,1.471,160.583,1.471,160.583,1.471,160.583,1.471,160.583,0
1000,18.2,1.463,160.604,1.463,160.604,1.463,160.604,1.463,160.604,1.463,160.604,1.463,160.604,0
1000,18.3,1.455,160.626,1.455,160.626,1.455,160.626,1.455,160.626,1.455,160.626,1.455,160.626,0
1000,18.4,1.447,160.647,1.447,160.647,1.447,160.647,1.447,160.647,1.447,160.647,1.447,160.647,0
1000,18.5,1.44,160.668,1.44,160.668,1.44,160.668,1.44,160.668,1.44,160.668,1.44,160.668,0
1000,18.6,1.432,160.689,1.432,160.689,1.432,160.689,1.432,160.689,1.432,160.689,1.432,160.689,0
1000,18.7,1.425,160.71,1.425,160.71,1.425,160.71,1.425,160.71,1.425,160.71,1.425,160.71,0
1000,18.8,1.417,160.73,1.417,160.73,1.417,160.73,1.417,160.73,1.417,160.73,1.417,160.73,0
1000,18.9,1.41,160.75,1.41,160.75,1.41,160.75,1.41,160.75,1.41,160.75,1.41,160.75,0
1000,19,1.403,160.77,1.403,160.77,1.403,160.77,1.403,160.77,1.403,160.77,1.403,160.77,0
1000,19.1,1.396,160.79,1.396,160.79,1.396,160.79,1.396,160.79,1.396,160.79,1.396,160.79,0
1000,19.2,1.388,160.809,1.388,160.809,1.388,160.809,1.388,160.809,1.388,160.809,1.388,160.809,0
1000,19.3,1.381,160.829,1.381,160.829,1.381,160.829,1.381,160.829,1.381,160.829,1.381,160.829,0
1000,19.4,1.374,160.848,1.374,160.848,1.374,160.848,1.374,160.848,1.374,160.848,1.374,160.848,0
1000,19.5,1.368,160.867,1.368,160.867,1.368,160.867,1.368,160.867,1.368,160.867,1.368,160.867,0
1000,19.6,1.361,160.885,1.361,160.885,1.361,160.885,1.361,160.885,1.361,160.885,1.361,160.885,0
1000,19.7,1.354,160.904,1.354,160.904,1.354,160.904,1.354,160.904,1.354,160.904,1.354,160.904,0
1000,19.8,1.347,160.922,1.347,160.922,1.347,160.922,1.347,160.922,1.347,160.922,1.347,160.922,0
1000,19.9,1.341,160.94,1.341,160.94,1.341,160.94,1.341,160.94,1.341,160.94,1.341,160.94,0
1000,20,1.334,160.958,1.334,160.958,1.334,160.958,1.334,160.958,1.334,160.958,1.334,160.958,0
1000,20.1,1.328,160.975,1.328,160.975,1.328,160.975,1.328,160.975,1.328,160.975,1.328,160.975,0
1000,20.2,1.321,160.994,1.321,160.994,1.321,160.994,1.321,160.994,1.321,160.994,1.321,160.994,0
1000,20.3,1.315,161.015,1.315,161.015,1.315,161.015,1.315,161.015,1.315,161.015,1.315,161.015,0
1000,20.4,1.309,161.028,1.309,161.028,1.309,161.028,1.309,161.028,1.309,161.028,1.309,161.028,0
1000,20.5,1.302,161.045,1.302,161.045,1.302,161.045,1.302,161.045,1.302,161.045,1.302,161.045,0
1000,20.6,1.296,161.062,1.296,161.062,1.296,161.062,1.296,161.062,1.296,161.062,1.296,161.062,0
1000,20.7,1.29,161.079,1.29,161.079,1.29,161.079,1.29,161.079,1.29,161.079,1.29,161.079,0
1000,20.8,1.284,161.096,1.284,161.096,1.284,161.096,1.284,161.096,1.284,161.096,1.284,161.096,0
1000,20.9,1.278,161.112,1.278,161.112,1.278,161.112,1.278,161.112,1.278,161.112,1.278,161.112,0
1000,21,1.272,161.128,1.272,161.128,1.272,161.128,1.272,161.128,1.272,161.128,1.272,161.128,0
1000,21.1,1.266,161.144,1.266,161.144,1.266,161.144,1.266,161.144,1.266,161.144,1.266,161.144,0
1000,21.2,1.26,161.16,1.26,161.16,1.26,161.16,1.26,161.16,1.26,161.16,1.26,161.16,0
1000,21.3,1.254,161.176,1.254,161.176,1.254,161.176,1.254,161.176,1.254,161.176,1.254,161.176,0
1000,21.4,1.249,161.192,1.249,161.192,1.249,161.192,1.249,161.192,1.249,161.192,1.249,161.192,0
1000,21.5,1.243,161.207,1.243,161.207,1.243,161.207,1.243,161.207,1.243,161.207,1.243,161.207,0
1000,21.6,1.237,161.223,1.237,161.223,1.237,161.223,1.237,161.223,1.237,161.223,1.237,161.223,0
1000,21.7,1.232,161.238,1.232,161.238,1.232,161.238,1.232,161.238,1.232,161.238,1.232,161.238,0
1000,21.8,1.226,161.253,1.226,161.253,1.226,161.253,1.226,161.253,1.226,161.253,1.226,161.253,0
1000,21.9,1.221,161.268,1.221,161.268,1.221,161.268,1.221,161.268,1.221,161.268,1.221,161.268,0
1000,22,1.215,161.283,1.215,161.283,1.215,161.283,1.215,161.283,1.215,161.283,1.215,161.283,0
1000,22.1,1.21,161.297,1.21,161.297,1.21,161.297,1.21,161.297,1.21,161.297,1.21,161.297,0
1000,22.2,1.205,161.312,1.205,161.312,1.205,161.312,1.205,161.312,1.205,161.312,1.205,161.312,0
1000,22.3,1.199,161.326,1.199,161.326,1.199,161.326,1.199,161.326,1.199,161.326,1.199,161.326,0
1000,22.4,1.194,161.341,1.194,161.341,1.194,161.341,1.194,161.341,1.194,161.341,1.194,161.341,0
1000,22.5,1.189,161.355,1.892,161.355,1.892,161.355,1.892,161.355,1.892,161.355,1.892,161.355,0
1000,22.6,1.184,161.369,1.184,161.369,1.184,161.369,1.184,161.369,1.184,161.369,1.184,161.369,0
1000,22.7,1.179,161.383,1.179,161.383,1.179,161.383,1.179,161.383,1.179,161.383,1.179,161.383,0
1000,22.8,1.173,161.396,1.173,161.396,1.173,161.396,1.173,161.396,1.173,161.396,1.173,161.396,0
1000,22.9,1.169,161.41,1.169,161.41,1.169,161.41,1.169,161.41,1.169,161.41,1.169,161.41,0
1000,23,1.163,161.424,1.163,161.424,1.163,161.424,1.163,161.424,1.163,161.424,1.163,161.424,0
1000,23.1,1.158,161.437,1.158,161.437,1.158,161.437,1.158,161.437,1.158,161.437,1.158,161.437,0
